Initial_block_ID,Cluster_number,w
352,1,479.299466854662
477,2,754.548107312106
507,3,263.424212395965
619,4,183.251626014584
764,6,293.202601623335
803,7,273.885409631235
851,8,137.687185728999
914,9,1643.31245778741
1180,11,275.374371457997
1337,12,145.336473825054
1646,13,240.083488690216
1795,14,137.687185728999
1846,15,103.451963032724
2113,17,73.4549883172384
2367,18,196.341027872769
2377,19,365.18054617498
3036,22,240.083488690216
3143,23,275.871901420597
3145,24,274.381129931675
3540,25,457.301883219458
3960,26,466.447920883847
4143,27,130.802826442549
4441,28,286.330665647788
4593,29,131.950219656957
4659,30,174.089044713855
5057,31,547.77081926247
5063,32,182.920753287783
5618,33,172.108982161248
5679,34,164.628677959005
5711,35,190.887110431858
5756,36,547.77081926247
5951,37,547.77081926247
6189,38,234.068215739298
6235,39,603.638485849685
6537,40,96.7295152105551
7043,42,274.877439021876
7136,43,152.709688345487
7278,44,248.284711278537
7411,45,158.340263588348
7632,46,156.045477159532
7757,47,68.7653468817121
8018,48,343.307255101187
8185,50,206.158079266407
8554,51,91.7914571526657
9040,52,166.283882865086
9558,55,115.062359322108
9732,56,368.493391278305
9790,57,146.172970062732
9996,58,235.609233447322
10392,60,124.142355639269
10472,61,77.2647433325478
11084,62,70.629796458883
11152,63,697.162860879508
11205,64,684.713524078088
11272,65,547.77081926247
11623,66,194.704852640496
11734,67,445.063790650757
12205,69,547.77081926247
12211,70,137.687185728999
12270,71,253.802149306949
12358,72,125.396318827544
12438,73,117.247897224915
12574,74,342.976412414594
12703,75,616.242171670279
13197,76,223.974209573381
13380,78,103.451963032724
13426,79,100.859349343285
13464,80,669.497667987464
13698,81,151.455904301898
13714,82,158.340263588348
14435,83,275.374371457997
14550,84,616.242171670279
14632,85,264.854624981282
14939,86,599.124333568327
15172,87,456.475682718725
15588,88,137.687185728999
15680,89,547.77081926247
15686,90,602.547901188717
